,Idx,Episode,Air Date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
10,10,"""Like Selling Your Soul to the Devil""","November 25, 2015","Abi-Maria,Ciera, Joe,Spencer,Tasha",Joe,"['Ciera', '3-2-0']",10th Voted Out4th Jury MemberDay 26,8.18,1.8/6,['Joe']
11,11,"""My Wheels Are Spinning""","November 25, 2015","Stephen[Jeremy,Tasha]",Spencer,"['Stephen', '4-3-2']",11th Voted Out5th Jury MemberDay 29,8.18,1.8/6,['Spencer']
12,12,"""Tiny Little Shanks to the Heart""","December 2, 2015","Kelley[Abi-Maria,Joe, Keith,Kimmi]","['KelleyChallenge Title: Over-ExtendedThe castaways must balance a statue on top of a pole until it falls off. At various intervals, castaways must a sections to their pole to make it longer and more difficult to balance the statue. The last man and the last woman standing each wins immunity.', 'Keith']","['Joe', '6-1-1']",12th Voted Out6th Jury MemberDay 32,9.42,2.1/7,"['Kelley', 'Keith']"
13,13,"""Villains Have More Fun""","December 9, 2015","Keith[Kelley,Spencer]",Spencer,"['Abi-Maria', '4-2-1']",13th Voted Out7th Jury MemberDay 35,9.77,2.3/8,['Spencer']
14,14,"""Lie, Cheat and Steal""","December 16, 2015",None,Spencer,"['Kimmi', '0-0;3-3;Consensus']",14th Voted Out8th Jury MemberDay 36,9.45,2.2/8,['Spencer']
15,14,"""Lie, Cheat and Steal""","December 16, 2015",None,Kelley,"['Keith', '3-2']",15th Voted Out9th Jury MemberDay 37,9.45,2.2/8,['Kelley']
16,14,"""Lie, Cheat and Steal""","December 16, 2015",None,Jeremy,"['Kelley', '3-1']",16th Voted Out10th Jury MemberDay 38,9.45,2.2/8,['Jeremy']
17,14,"""Lie, Cheat and Steal""","December 16, 2015",Jury Vote,Jury Vote,"['SpencerTasha', '10-0-0']",Runners-Up,9.45,2.2/8,[]
18,14,"""Lie, Cheat and Steal""","December 16, 2015",Jury Vote,Jury Vote,"['Jeremy', '10-0-0']",Sole Survivor,9.45,2.2/8,[]
19,15,"""Reunion""","December 16, 2015",,,,,6.49,1.7/6,[]
